NamePoke,OwnedBy,Favorited,PointValue,Score,Diff,Kills,Death,Wins,GamesPlayed
Drakloak,,,0,,,,,,
Dragapult,,,15,,,,,,
zacian,,,21,,,,,,
zamazenta,,,21,,,,,,
Eternatus,,,21,,,,,,
Kubfu,,,0,,,,,,
urshifu-single-strike,,,21,,,,,,
Zarude,,,8,,,,,,
Regieleki,,,17,,,,,,
Regidrago,,,10,,,,,,
Glastrier,,,11,,,,,,
Spectrier,,,15,,,,,,
Calyrex,,,1,,,,,,
Wyrdeer,,,5,,,,,,
Kleavor,,,11,,,,,,
Ursaluna,,,18,,,,,,
Basculegion-M,,,17,,,,,,
Sneasler,,,16,,,,,,
Overqwil,,,13,,,,,,
Enamorus,,,17,,,,,,
sprigatito,,,0,,,,,,
Floragato,,,0,,,,,,
Meowscarada,,,14,,,,,,
Fuecoco,,,0,,,,,,
Crocalor,,,0,,,,,,
Skeledirge,,,11,,,,,,
Quaxly,,,0,,,,,,
Quaxwell,,,0,,,,,,
Quaquaval,,,8,,,,,,
Lechonk,,,0,,,,,,
Oinkologne-M,,,1,,,,,,
Tarountula,,,0,,,,,,
Spidops,,2022,1,,,,,,
Nymble,,,0,,,,,,
Lokix,,,4,,,,,,
Pawmi,,,0,,,,,,
Pawmo,,,0,,,,,,
Pawmot,,,10,,,,,,
Tandemaus,,,0,,,,,,
Maushold,,,13,,,,,,
Fidough,,,0,,,,,,
Dachsbun,,,3,,,,,,
Smoliv,,,0,,,,,,
Dolliv,,,0,,,,,,
Arboliva,,,10,,,,,,
Squawkabilly,,,1,,,,,,
Nacli,,,0,,,,,,
Naclstack,,,0,,,,,,
Garganacl,,,10,,,,,,
Charcadet,,,0,,,,,,
Armarouge,,,13,,,,,,
Ceruledge,,,10,,,,,,
tadbulb,,,0,,,,,,
Bellibolt,,,2,,,,,,
Wattrel,,,0,,,,,,
Kilowattrel,,,10,,,,,,
Maschiff,,,0,,,,,,
Mabosstiff,,,7,,,,,,
Shroodle,,,0,,,,,,
Grafaiai,,,7,,,,,,
Bramblin,,,0,,,,,,
Brambleghast,,,4,,,,,,
toedscool,,,0,,,,,,
Toedscruel,,,7,,,,,,
Klawf,,,1,,,,,,
Capsakid,,,0,,,,,,
Scovillain,,,11,,,,,,
Rellor,,,0,,,,,,
Rabsca,,,2,,,,,,
Flittle,,,0,,,,,,
Espathra,,,12,,,,,,
Tinkatink,,,0,,,,,,
tinkatuff,,,0,,,,,,
Tinkaton,,,14,,,,,,
wiglett,,,0,,,,,,
Wugtrio,,,1,,,,,,
Bombirdier,,,3,,,,,,
Finizen,,,0,,,,,,
Palafin,,,16,,,,,,
varoom,,,0,,,,,,
Revavroom,,,3,,,,,,
Cyclizar,,,10,,,,,,
Orthworm,,,6,,,,,,
Glimmet,,,0,,,,,,
Glimmora,,,15,,,,,,
Greavard,,,0,,,,,,
Houndstone,,,13,,,,,,
Flamigo,,,8,,,,,,
Cetoddle,,,0,,,,,,
Cetitan,,,9,,,,,,
Veluza,,,2,,,,,,
Dondozo,,,3,,,,,,
Tatsugiri,,,7,,,,,,
Annihilape,,,11,,,,,,
Clodsire,,,2,,,,,,
Farigiraf,,,15,,,,,,
Dudunsparce,,,7,,,,,,
Kingambit,,,18,,,,,,
Great Tusk,,,16,,,,,,
Scream Tail,,,12,,,,,,
Brute Bonnet,,,11,,,,,,
Flutter Mane,,,20,,,,,,
Slither Wing,,,8,,,,,,
Sandy Shocks,,,12,,,,,,
Iron Treads,,,13,,,,,,
Iron Bundle,,,17,,,,,,
Iron Hands,,,20,,,,,,
Iron Jugulis,,,12,,,,,,
Iron Moth,,,13,,,,,,
Iron Thorns,,,6,,,,,,
Frigibax,,,0,,,,,,
Arctibax,,,0,,,,,,
Baxcalibur,,,14,,,,,,
Gimmighoul,,,0,,,,,,
Gholdengo,,,17,,,,,,
Wo-Chien,,,11,,,,,,
Chien-Pao,,,20,,,,,,
Ting Lu,,,18,,,,,,
Chi-Yu,,,20,,,,,,
Roaring Moon,,,19,,,,,,
Iron Valiant,,,15,,,,,,
Koraidon,,,21,,,,,,
Miraidon,,,21,,,,,,
Walking Wake,,,20,,,,,,
Iron Leaves,,,13,,,,,,
Dipplin,,,4,,,,,,
Poltchageist,,,0,,,,,,
Sinistcha,,,16,,,,,,
Okidogi,,,12,,,,,,
Munkidori,,,14,,,,,,
Fezandipiti,,,8,,,,,,
Ogerpon,,,18,,,,,,
Archaludon,,,18,,,,,,
Hydrapple,,,15,,,,,,
Gouging Fire,,,16,,,,,,
Raging Bolt,,,19,,,,,,
Iron Boulder,,,18,,,,,,
Iron Crown,,,13,,,,,,
Terapagos,,,16,,,,,,
Pecharunt,,,14,,,,,,
Wormadam-Sandy,,,1,,,,,,
Wormadam-Trash,,,1,,,,,,
Shaymin-Sky,,,15,,,,,,
Rotom-Wash,,,11,,,,,,
Darmanitan-Galar,,,12,,,,,,
Meowstic-F,,,2,,,,,,
pumpkaboo-small,,,0,,,,,,
pumpkaboo-large,,,0,,,,,,
pumpkaboo-super,,,0,,,,,,
Gourgeist-Small,,,3,,,,,,
Gourgeist-Large,,,3,,,,,,
Gourgeist-Super,,,4,,,,,,
Floette-Eternal,,,10,,,,,,
Hoopa-Unbound,,,15,,,,,,
Raichu-Alola,,,8,,,,,,
Sandslash-Alola,,,2,,,,,,
Vulpix-Alola,,,1,,,,,,
Ninetales-Alola,,,15,,,,,,
Dugtrio-Alola,,,3,,,,,,
Persian-Alola,,,9,,,,,,
Golem-Alola,,,2,,,,,,
Muk-Alola,,,12,,,,,,
Exeggutor-Alola,,,4,,,,,,
Marowak-Alola,,,7,,,,,,
Oricorio-Pa'u,,,2,,,,,,
Oricorio-pompom,,,3,,,,,,
Oricorio-Sensu,,,2,,,,,,
Lycanroc-Midnight,,,2,,,,,,
Lycanroc-dusk,,,11,,,,,,
Rapidash-Galar,,,3,,,,,,
Slowbro-Galar,,,7,,,,,,
Weezing-Galar,,,7,,,,,,
Mr. Mime-Galar,,,3,,,,,,
Articuno-Galar,,,8,,,,,,
Zapdos-Galar,,,14,,,,,,
Moltres-Galar,,,12,,,,,,
Slowking-Galar,,,12,,,,,,
Corsola-Galar,,,1,,,,,,
Zygarde-10,,,9,,,,,,
Indeedee-F,,,17,,,,,,
Arcanine-Hisui,,,16,,,,,,
Electrode-Hisui,,,3,,,,,,
Typhlosion-Hisui,,,6,,,,,,
Qwilfish-Hisui,,,8,,,,,,
Sneasel-Hisui,,,6,,,,,,
Samurott-Hisui,,,11,,,,,,
Lilligant-Hisui,,,15,,,,,,
Zoroark-Hisui,,,8,,,,,,
Braviary-Hisui,,,6,,,,,,
Sliggoo-Hisui,,,8,,,,,,
Goodra-Hisui,,,7,,,,,,
Avalugg-Hisui,,,1,,,,,,
Decidueye-Hisui,,,6,,,,,,
Basculin-White Striped,,,3,,,,,,
Basculegion-F,,,16,,,,,,
Tauros-Paldea Combat,,,6,,,,,,
Tauros-Paldea Blaze,,,10,,,,,,
Tauros-Paldea Aqua,,,10,,,,,,
Oinkologne-F,,,1,,,,,,
Ursaluna-Bloodmoon,,,20,,,,,,
